Results,,,,,,
,800,700,600,500,400,Sum
Best,0,2,9,1,0,12
Not Best,12,10,3,11,12,48
Sum,12,12,12,12,12,60
,,,,,,
Expected,,,,,,
,800,700,600,500,400,
Best,2.4,2.4,2.4,2.4,2.4,
Not Best,9.6,9.6,9.6,9.6,9.6,
,,,,,,
,,,,,,
,sig lvl =,0.05,,P=,5.40E-06,
,,,,,,
Residual,,,,,,
,800,700,600,500,400,
Best,-1.936491673,-0.322748612,5.325352101,-1.129620143,-1.936491673,
Not Best,1.936491673,0.322748612,-5.325352101,1.129620143,1.936491673,
,,,,,,
,sig level =,0.005,,,,
,,,,,,
,z criteria =,-2.807033768,,5.325352101,>,-2.807033768
